long,code,provider,s_confidence,time,unique_id,detected,mag,p_error,event_id,s_detected,p_predicted,p_detected,catalogued,p_confidence,lat,s_error,plot_path,depth,date,s_predicted,network,epi_distance,mag_type
-72.926,R50D6,EMSC,,2024-09-01T19:33:33,2024-09-01_61,False,3.5,,quakeml:eu.emsc/event/20240901_0000203,,2024-09-01T19:44:11.198637,,True,,18.35,,,17.5,2024-09-01,2024-09-01T19:52:51.948871,AM,7160.675968249349,m
7.843,R50D6,EMSC,,2024-09-01T19:27:08.300000,2024-09-01_62,False,2.6,,quakeml:eu.emsc/event/20240901_0000244,,2024-09-01T19:32:25.308316,,True,,78.341,,,0.0,2024-09-01,2024-09-01T19:37:03.284466,AM,2646.299465792693,m
-6.7816,R50D6,EMSC,,2024-09-01T19:23:45.400000,2024-09-01_63,False,2.0,,quakeml:eu.emsc/event/20240901_0000171,,2024-09-01T19:26:52.738918,,True,,42.1228,,,6.5,2024-09-01,2024-09-01T19:29:20.493636,AM,1456.59002479494,ml
20.6694,R50D6,EMSC,,2024-09-01T19:16:24.440000,2024-09-01_64,False,2.7,,quakeml:eu.emsc/event/20240901_0000167,,2024-09-01T19:21:17.312051,,True,,39.467,,,6.3,2024-09-01,2024-09-01T19:25:19.924729,AM,2372.5693209432725,ml
7.5257,R50D6,EMSC,,2024-09-01T19:08:23.100000,2024-09-01_65,False,0.1,,quakeml:eu.emsc/event/20240901_0000201,,2024-09-01T19:10:51.000924,,True,,46.3279,,,1.4,2024-09-01,2024-09-01T19:12:47.589953,AM,1134.915709866367,ml
38.1478,R50D6,EMSC,,2024-09-01T19:03:19,2024-09-01_66,False,2.0,,quakeml:eu.emsc/event/20240901_0000173,,2024-09-01T19:09:41.465772,,True,,38.2581,,,7.0,2024-09-01,2024-09-01T19:14:50.890073,AM,3482.734563980688,ml
38.1686,R50D6,EMSC,,2024-09-01T18:56:31,2024-09-01_67,True,2.0,-0.373989,quakeml:eu.emsc/event/20240901_0000163,,2024-09-01T19:02:53.653989,2024-09-01T19:02:53.280000,True,0.3431725203990936,38.2442,,https://raw.githubusercontent.com/QingyuanZhangTony/Automated-Earthquake-Detection-And-Reporting/main/data\AM.R50D6/2024-09-01/report/2024-09-01_67_event_plot.png?raw=true,7.0,2024-09-01,2024-09-01T19:08:03.223866,AM,3485.112294666907,ml
27.5278,R50D6,EMSC,,2024-09-01T18:42:02,2024-09-01_68,True,1.1,-6.702067,quakeml:eu.emsc/event/20240901_0000166,,2024-09-01T18:47:30.022067,2024-09-01T18:47:23.320000,True,0.2451939582824707,39.145,,https://raw.githubusercontent.com/QingyuanZhangTony/Automated-Earthquake-Detection-And-Reporting/main/data\AM.R50D6/2024-09-01/report/2024-09-01_68_event_plot.png?raw=true,7.0,2024-09-01,2024-09-01T18:52:00.501330,AM,2775.0595435184227,ml
38.5564,R50D6,EMSC,,2024-09-01T18:35:35,2024-09-01_69,False,1.2,,quakeml:eu.emsc/event/20240901_0000168,,2024-09-01T18:42:00.219699,,True,,38.1375,,,7.1,2024-09-01,2024-09-01T18:47:11.774902,AM,3517.505253788264,ml
-79.18,R50D6,EMSC,,2024-09-01T18:25:18,2024-09-01_70,False,3.6,,quakeml:eu.emsc/event/20240901_0000159,,2024-09-01T18:37:41.449941,,True,,0.69,,,58.0,2024-09-01,2024-09-01T18:47:58.937005,AM,9154.269549273837,m
-103.26,R50D6,EMSC,,2024-09-01T18:23:40,2024-09-01_71,False,3.5,,quakeml:eu.emsc/event/20240901_0000235,,2024-09-01T18:36:01.539624,,True,,18.07,,,3.7,2024-09-01,2024-09-01T18:46:17.197328,AM,9098.850417598103,m
-93.82,R50D6,EMSC,,2024-09-01T18:11:16,2024-09-01_72,False,3.6,,quakeml:eu.emsc/event/20240901_0000236,,2024-09-01T18:23:15.307858,,True,,16.65,,,136.5,2024-09-01,2024-09-01T18:33:09.934095,AM,8644.92367791432,m
37.8958,R50D6,EMSC,,2024-09-01T18:05:34,2024-09-01_73,False,1.1,,quakeml:eu.emsc/event/20240901_0000160,,2024-09-01T18:11:56.002370,,True,,38.1331,,,8.5,2024-09-01,2024-09-01T18:17:05.068306,AM,3476.969515212053,ml
27.5567,R50D6,EMSC,,2024-09-01T17:58:59.980000,2024-09-01_74,False,3.5,,quakeml:eu.emsc/event/20240901_0000158,,2024-09-01T18:04:53.815680,,True,,35.7293,,,19.7,2024-09-01,2024-09-01T18:09:33.212549,AM,3070.112183243189,ml
27.0073,R50D6,EMSC,,2024-09-01T17:42:11.100000,2024-09-01_75,False,2.6,,quakeml:eu.emsc/event/20240901_0000156,,2024-09-01T17:47:45.680156,,True,,37.9035,,,12.0,2024-09-01,2024-09-01T17:52:21.563989,AM,2850.3319803538097,ml
38.6444,R50D6,EMSC,,2024-09-01T17:39:47.320000,2024-09-01_76,False,3.1,,quakeml:eu.emsc/event/20240901_0000157,,2024-09-01T17:46:12.649487,,True,,38.1897,,,11.6,2024-09-01,2024-09-01T17:51:24.289721,AM,3518.8708356335524,ml
155.13,R50D6,EMSC,,2024-09-01T17:06:30.800000,2024-09-01_77,False,4.1,,quakeml:eu.emsc/event/20240901_0000172,,2024-09-01T17:18:14.738724,,True,,48.5,,,40.0,2024-09-01,2024-09-01T17:27:55.038318,AM,8327.436049751092,mb
-118.4662,R50D6,EMSC,,2024-09-01T17:01:41.170000,2024-09-01_78,False,2.7,,quakeml:eu.emsc/event/20240901_0000152,,2024-09-01T17:13:14.961600,,True,,37.4325,,,2.4,2024-09-01,2024-09-01T17:22:45.893234,AM,8138.534778250119,md
-96.94,R50D6,EMSC,,2024-09-01T17:00:53,2024-09-01_79,False,3.3,,quakeml:eu.emsc/event/20240901_0000237,,2024-09-01T17:13:05.159437,,True,,15.93,,,11.1,2024-09-01,2024-09-01T17:23:11.893686,AM,8905.085978488223,m
33.7687,R50D6,EMSC,,2024-09-01T16:45:43.410000,2024-09-01_80,False,1.5,,quakeml:eu.emsc/event/20240901_0000246,,2024-09-01T16:52:05.882079,,True,,35.0075,,,41.6,2024-09-01,2024-09-01T16:57:15.311575,AM,3484.802347276857,ml
-116.7273,R50D6,EMSC,,2024-09-01T16:33:34.480000,2024-09-01_81,False,2.6,,quakeml:eu.emsc/event/20240901_0000148,,2024-09-01T16:45:22.196655,,True,,33.6745,,,16.0,2024-09-01,2024-09-01T16:55:05.999627,AM,8406.062258019585,ml
-100.22,R50D6,EMSC,,2024-09-01T16:33:24,2024-09-01_82,False,3.3,,quakeml:eu.emsc/event/20240901_0000238,,2024-09-01T16:45:40.928983,,True,,17.09,,,35.7,2024-09-01,2024-09-01T16:55:52.192664,AM,9003.01913599873,m
-99.76,R50D6,EMSC,,2024-09-01T16:20:07,2024-09-01_83,False,3.4,,quakeml:eu.emsc/event/20240901_0000239,,2024-09-01T16:32:19.128742,,True,,17.88,,,58.2,2024-09-01,2024-09-01T16:42:25.835788,AM,8903.14505079421,m
-118.1693,R50D6,EMSC,,2024-09-01T16:16:45.560000,2024-09-01_84,True,2.1,-12.858436,quakeml:eu.emsc/event/20240901_0000147,,2024-09-01T16:28:34.958436,2024-09-01T16:28:22.100000,True,0.2990219593048095,34.0882,,https://raw.githubusercontent.com/QingyuanZhangTony/Automated-Earthquake-Detection-And-Reporting/main/data\AM.R50D6/2024-09-01/report/2024-09-01_84_event_plot.png?raw=true,11.1,2024-09-01,2024-09-01T16:38:20.324619,AM,8438.497971689345,ml
-3.6048,R50D6,EMSC,,2024-09-01T16:09:01.260000,2024-09-01_85,False,2.1,,quakeml:eu.emsc/event/20240901_0000151,,2024-09-01T16:13:35.173212,,True,,35.4351,,,23.8,2024-09-01,2024-09-01T16:17:20.916462,AM,2155.217709348283,ml
37.0207,R50D6,EMSC,,2024-09-01T16:00:09.800000,2024-09-01_86,False,2.6,,quakeml:eu.emsc/event/20240901_0000145,,2024-09-01T16:06:27.653692,,True,,38.1107,,,6.6,2024-09-01,2024-09-01T16:11:33.513431,AM,3424.805062069287,ml
-44.653,R50D6,EMSC,,2024-09-01T15:46:35.100000,2024-09-01_87,False,4.8,,quakeml:eu.emsc/event/20240901_0000143,,2024-09-01T15:54:29.553092,,True,,26.4601,,,11.0,2024-09-01,2024-09-01T16:00:51.658938,AM,4689.470684549471,mb
-92.47,R50D6,EMSC,,2024-09-01T15:46:28,2024-09-01_88,False,3.9,,quakeml:eu.emsc/event/20240901_0000240,,2024-09-01T15:58:32.534079,,True,,14.52,,,82.6,2024-09-01,2024-09-01T16:08:32.068248,AM,8751.135662674458,m
6.8475,R50D6,EMSC,,2024-09-01T15:40:27.600000,2024-09-01_89,False,0.7,,quakeml:eu.emsc/event/20240901_0000197,,2024-09-01T15:42:55.907607,,True,,46.0248,,,5.5,2024-09-01,2024-09-01T15:44:52.818944,AM,1138.382299898654,ml
37.8233,R50D6,EMSC,,2024-09-01T15:33:46,2024-09-01_90,False,1.4,,quakeml:eu.emsc/event/20240901_0000142,,2024-09-01T15:40:07.095534,,True,,38.2219,,,7.2,2024-09-01,2024-09-01T15:45:15.460298,AM,3465.505451138551,ml
27.0172,R50D6,EMSC,,2024-09-01T14:59:58.550000,2024-09-01_91,False,2.4,,quakeml:eu.emsc/event/20240901_0000138,,2024-09-01T15:05:15.071464,,True,,40.3908,,,11.7,2024-09-01,2024-09-01T15:09:52.342400,AM,2643.366547229976,ml
42.1789,R50D6,EMSC,,2024-09-01T14:49:48,2024-09-01_92,False,1.1,,quakeml:eu.emsc/event/20240901_0000139,,2024-09-01T14:56:11.940516,,True,,41.4097,,,7.0,2024-09-01,2024-09-01T15:01:22.505700,AM,3499.808660329742,ml
-98.66,R50D6,EMSC,,2024-09-01T14:45:38,2024-09-01_93,False,3.3,,quakeml:eu.emsc/event/20240901_0000241,,2024-09-01T14:57:50.948274,,True,,16.94,,,3.9,2024-09-01,2024-09-01T15:07:58.429992,AM,8920.534712425044,m
26.09,R50D6,EMSC,,2024-09-01T14:04:46.600000,2024-09-01_94,False,2.3,,quakeml:eu.emsc/event/20240901_0000135,,2024-09-01T14:10:15.286207,,True,,38.09,,,10.0,2024-09-01,2024-09-01T14:14:46.313055,AM,2783.2507783901096,ml
21.98,R50D6,EMSC,,2024-09-01T13:58:10.300000,2024-09-01_95,True,2.4,3.899306,quakeml:eu.emsc/event/20240901_0000119,,2024-09-01T14:03:19.140694,2024-09-01T14:03:23.040000,True,0.1037060245871543,38.16,,https://raw.githubusercontent.com/QingyuanZhangTony/Automated-Earthquake-Detection-And-Reporting/main/data\AM.R50D6/2024-09-01/report/2024-09-01_95_event_plot.png?raw=true,9.0,2024-09-01,2024-09-01T14:07:45.226893,AM,2556.934587061096,ml
-0.0569,R50D6,EMSC,,2024-09-01T13:40:13.860000,2024-09-01_96,False,1.5,,quakeml:eu.emsc/event/20240901_0000136,,2024-09-01T13:43:03.223387,,True,,43.0208,,,5.3,2024-09-01,2024-09-01T13:45:16.795023,AM,1310.5260093307695,ml
-87.85,R50D6,EMSC,,2024-09-01T13:34:49,2024-09-01_97,False,3.4,,quakeml:eu.emsc/event/20240901_0000137,,2024-09-01T13:46:48.189297,,True,,12.42,,,29.0,2024-09-01,2024-09-01T13:56:42.700287,AM,8645.61034986724,m
36.3036,R50D6,EMSC,,2024-09-01T13:24:40,2024-09-01_98,False,1.7,,quakeml:eu.emsc/event/20240901_0000118,,2024-09-01T13:30:56.082188,,True,,37.8358,,,7.0,2024-09-01,2024-09-01T13:36:00.573974,AM,3402.7120370242824,ml
92.39,R50D6,EMSC,,2024-09-01T13:21:52,2024-09-01_99,False,3.6,,quakeml:eu.emsc/event/20240901_0000115,,2024-09-01T13:33:12.304025,,True,,26.25,,,23.0,2024-09-01,2024-09-01T13:42:30.891864,AM,7894.605619566024,m
-151.5494,R50D6,EMSC,,2024-09-01T13:20:20.570000,2024-09-01_100,False,4.5,,quakeml:eu.emsc/event/20240901_0000112,,2024-09-01T13:30:51.256547,,True,,59.6492,,,51.1,2024-09-01,2024-09-01T13:39:25.360698,AM,7016.44643948762,mw
33.0508,R50D6,EMSC,,2024-09-01T13:12:55.120000,2024-09-01_101,False,1.7,,quakeml:eu.emsc/event/20240901_0000247,,2024-09-01T13:19:15.980399,,True,,34.7555,,,22.0,2024-09-01,2024-09-01T13:24:24.163526,AM,3464.650720835077,ml
-1.293,R50D6,EMSC,,2024-09-01T12:50:57.720000,2024-09-01_102,False,2.6,,quakeml:eu.emsc/event/20240901_0000113,,2024-09-01T12:54:29.009120,,True,,40.4508,,,0.0,2024-09-01,2024-09-01T12:57:02.372611,AM,1591.8769393319274,ml
41.5744,R50D6,EMSC,,2024-09-01T12:37:20,2024-09-01_103,True,0.6,-19.701536,quakeml:eu.emsc/event/20240901_0000116,,2024-09-01T12:43:41.721536,2024-09-01T12:43:22.020000,True,0.3114640414714813,41.2625,,https://raw.githubusercontent.com/QingyuanZhangTony/Automated-Earthquake-Detection-And-Reporting/main/data\AM.R50D6/2024-09-01/report/2024-09-01_103_event_plot.png?raw=true,7.7,2024-09-01,2024-09-01T12:48:50.570303,AM,3471.91754290957,ml
